issue_id,issue_type,file,line,observed_form,canonical_term,suggested_replacement,alternatives,default_action,decision,custom_replacement,scope,notes,context
S0001,semantic_drift_suspect,chapters/chapter08.tex,99,adverb,adverb,,,keep,keep,,this_occurrence,"score=0.133; sim_def=0.088; sim_cluster=0.152; glossary=A traditional residual category for modifiers that are not adjectives. Maintained by multiple unrelated mechanisms across subtypes. Fails projectibility across manner, degree, and sentence adverbs. A paradigmatic fat class; the remedy is decomposition. fat class.","... extbf{Projectibility} & \textbf{Homeostasis} & \textbf{Example} \\ \midrule Thin & Fail (insufficient clustering) & Fail (no stabilizers) & Preposition doubling \\ Fat & Fail (subclass divergence) & Partial (subgroup mechanisms) & Umbrella \term{[[adverb]]} \\ Negative & Fail (no positive cluster) & Fail (defined by absence) & \term{non-finite clause} \\ \bottomrule \end{tabular} \end{table} \begin{figure}[t] \centering \begin{tikzpicture}[ box/.style={rectangle, draw, minimum width=5cm, ..."
S0002,semantic_drift_suspect,chapters/chapter08.tex,140,adverb,adverb,,,keep,keep,,this_occurrence,"score=0.143; sim_def=0.070; sim_cluster=0.175; glossary=A traditional residual category for modifiers that are not adjectives. Maintained by multiple unrelated mechanisms across subtypes. Fails projectibility across manner, degree, and sentence adverbs. A paradigmatic fat class; the remedy is decomposition. fat class.","... ogical history. Language is an ecosystem. The HPCs are the components~-- constructions, lexemes, phoneme contrasts, sometimes families or paradigms~-- not the grammar as a whole. The failure modes below apply at that level: we ask whether \term{[[adverb]]} is a kind, not whether \term{English} is. Section~\ref{sec:8:grain} returns to this question; for now, the point is that grain matters. A category can be too thin, too fat, too negative~-- or simply at the wrong level of analysis. \secti ..."
S0003,semantic_drift_suspect,chapters/chapter07.tex,143,aspect,aspect,,,keep,keep,,this_occurrence,"score=0.187; sim_def=0.044; sim_cluster=0.248; glossary=A grammatical category describing how events are temporally and structurally construed. Maintained by distributional cue structures and morphological marking. Projectible patterns may diverge from textbook semantic definitions. A comparative concept whose language-specific mechanisms can drift. projectibility, mechanistic drift.","... {sec:7:labels-mechanisms} Here's where the story takes a surprising turn. \citet{divjak2025learnability} found that the best model~-- the one that most closely matches native-speaker preferences~-- is the one that doesn't use the category \term{[[aspect]]} at all. The lemma-concrete model~-- the one that treats each verb individually, without abstracting to aspect~-- predicts human behaviour better than the aspect-aware models. The statistical evidence is overwhelming: the probability that ..."
S0004,semantic_drift_suspect,chapters/chapter09.tex,86,count cluster,count cluster,,,keep,keep,,this_occurrence,"score=0.160; sim_def=0.228; sim_cluster=0.131; glossary=The morphosyntactic properties that travel together in English count nouns (plural, cardinals, many / few , agreement). Maintained by acquisition and entrenchment in count frames, plus alignment in discourse. Implicational hierarchy: tight properties imply loose ones. Coupled to individuation by bidirectional inference. individuation cluster, bidirectional inference, functional anchoring.","... ndifferentiated substance; it lacks a plural form (outside special interpretations); it rejects cardinals (*\mention{two waters}) and takes mass quantifiers (\mention{much}, \mention{less}); and it triggers singular agreement. This is the \term{[[count cluster]]}: the set of formal properties that normally travel together. When you hear a word has a plural form, you can predict it will take \mention{many} and reject \mention{much}. You can predict it will refer to something conceptualized as an ind ..."
S0005,semantic_drift_suspect,chapters/chapter14.tex,250,mechanism,mechanism,,,keep,keep,,this_occurrence,"score=0.080; sim_def=0.023; sim_cluster=0.104; glossary=Entities and activities organized in such a way that they are responsible for a phenomenon. Mechanisms include acquisition, alignment, entrenchment, and transmission. Identified by perturbation: weaken the process and the cluster frays. Adopts the consensus definition of . stabilizer, homeostasis, perturbation sensitivity.","... ~-- the maintained coupling between morphosyntactic form and structural meaning. It sustains a would-be (one form--value pairing lets you predict others) and it's homeostatic (the feeling of ungrammaticality stabilizes the coupling). As a \term{[[mechanism]]}, it's a stabilizer for other HPCs. The category \term{noun}'s maintained partly because nounhood's grammatical~-- because using a word in a noun slot, with noun morphology, in noun constructions, triggers no mismatch signal. Grammaticality ..."
S0006,semantic_drift_suspect,chapters/chapter09.tex,18,mechanism,mechanism,,,keep,keep,,this_occurrence,"score=0.116; sim_def=0.029; sim_cluster=0.153; glossary=Entities and activities organized in such a way that they are responsible for a phenomenon. Mechanisms include acquisition, alignment, entrenchment, and transmission. Identified by perturbation: weaken the process and the cluster frays. Adopts the consensus definition of . stabilizer, homeostasis, perturbation sensitivity.","... t hard: unlike phoneme contrasts, where form directly realizes contrastive value with minimal slippage, the count system tolerates drift, and the pattern of that drift is where the [[mechanism]] story lives. (A note: Throughout Part III, I use \term{mechanism} and \term{stabilizer} to refer to causal structures and their functional roles respectively \parencite{illari2012}.) %~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- ~-- -- \section{One word, two categories} \label{sec:9:two-c ..."
S0007,semantic_drift_suspect,chapters/chapter04.tex,129,noun,noun,,,keep,keep,,this_occurrence,"score=0.133; sim_def=0.024; sim_cluster=0.180; glossary=A lexical category associated with nominals and argument structure. Maintained by distributional cues, morphology, and acquisition biases. Cliquish stability across multiple diagnostics (determiners, number, agreement). Cross-linguistic comparability requires mechanism mapping. verb, subject, copied kind.","... y, without conscious categorisation. They are the bedrock of the category, the items that every speaker agrees on, the deep-basin anchors around which less frequent items cluster. Change the behaviour of \mention{thing} and you change what \term{[[noun]]} means. This is vanishingly unlikely. \mention{Thing} is so entrenched that changing it's nearly impossible~-- it would require shifting the habits of every English speaker simultaneously. The skewed distribution isn't incidental~-- it's f ..."
S0008,semantic_drift_suspect,chapters/chapter08.tex,10,noun,noun,,,keep,keep,,this_occurrence,"score=0.135; sim_def=0.021; sim_cluster=0.184; glossary=A lexical category associated with nominals and argument structure. Maintained by distributional cues, morphology, and acquisition biases. Cliquish stability across multiple diagnostics (determiners, number, agreement). Cross-linguistic comparability requires mechanism mapping. verb, subject, copied kind.",... art seeing it everywhere. Once you learn to spot homeostatic property clusters~-- once you see how feedback loops can maintain stable patterns without essences~-- it becomes tempting to diagnose homeostasis in every corner of the grammar. \term{[[noun]]}? HPC. \term{subject}? HPC. \term{voice}? HPC. \term{non-finite clause}? Surely an HPC too. The world fills up with spinning tops. Soon even the paper clips look homeostatic. Words that won't hold still~-- that's one failure mode. Words th ...
S0009,semantic_drift_suspect,chapters/chapter06.tex,440,particle,particle,,,keep,keep,,this_occurrence,"score=0.111; sim_def=0.109; sim_cluster=0.111; glossary=A residual lexical class for small function-like items that resist cleaner category assignments in a language-specific grammar. Often maintained by construction-specific distributions and lexical idiosyncrasy rather than a single unified profile. Typically weak projectibility outside narrow constructional contexts. Frequently a descriptive class rather than a mechanism-backed category. class, category, construction.","... sm makes the category projectible. Chapter~\ref{ch:failure-modes} develops such failure modes systematically; here, the contrast case shows that the quotative analysis isn't analogy-by-enthusiasm~-- it identifies genuine stabilization that \term{[[particle]]} lacks. The quotative category is also a mechanism in the larger kinds that contain it. Quotatives are part of what maintains \term{narrative discourse structure}~-- they enable the vivid re-enactment that makes storytelling work. They are ..."
S0010,semantic_drift_suspect,chapters/chapter07.tex,332,Proper name,proper name,,,keep,keep,,this_occurrence,"score=0.275; sim_def=0.154; sim_cluster=0.327; glossary=A semantic category of expressions that directly refer to individuals. Maintained by discourse tracking and stable reference to individuals. Rigid designation and referential opacity effects. Cross-cuts the syntactic category of proper nouns. proper noun, definiteness cluster, field-relative projectibility.","... nt because colour doesn't project for grammatical inferences. The same extension~-- red things, warm-coloured things~-- supports robust categorisation in one domain and fails to support it in another. This extends the proper-name pattern. \term{[[Proper name]]} projects for semantic purposes; \term{proper noun} projects for syntactic purposes. \term{Warm-coloured} projects for ecological purposes; nothing projects it for grammatical purposes~-- so nothing grammaticalises. The framework doesn't mu ..."
