dupre1993	doi_unresolved	10.2307/j.ctv1pncnzh	The Disorder of Things: Metaphysical Foundations of the Disunity of Science		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
pullum2019-normativity	doi_metadata_mismatch	10.5281/zenodo.2654375	Formalism, Grammatical Rules, and Normativity	Form and formalism in linguistics	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
favier2021	doi_metadata_mismatch	10.1016/j.lingua.2020.102991	Are there core and peripheral syntactic structures? A corpus-linguistic and experimental approach	Are there core and peripheral syntactic structures? Experimental evidence from Dutch native speakers with varying literacy levels	Title does not match DOI metadata.
rowlandpine2000	doi_unresolved	10.1016/S0010-0277(00)00100-0	Subject--Auxiliary Inversion Errors and Wh-Question Acquisition: `What Does Children's Developing Knowledge of English Tell Us About How Children Learn Language?'		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
husic2021	doi_metadata_mismatch	10.1017/9781108937979.017	Polysemy and the Count--Mass Distinction: What Can We Derive from a Lexicon of Count and Mass Senses?	Determining Countability Classes	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
remijsen2019dinka	doi_metadata_mismatch	10.1017/S0952675719000034	Contrastive Tonal Alignment in Dinka Bor	Phonotactic knowledge and phonetically unnatural classes: the plain uvular in Cochabamba Quechua	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
bertolotti2016	doi_metadata_mismatch	10.1075/ihll.10.02ber	\\textitVoseo and \\textittuteo, the countryside and the city: \\textitVoseo in Río de la Plata Spanish at the beginning of the 19th century	Voseo and tuteo, the countryside and the city	Title does not match DOI metadata.
jackendoff2023parallel	doi_metadata_mismatch	10.1111/tops.12684	The Parallel Architecture in Language and Elsewhere	Suppression‐Induced Forgetting as a Model for Repression	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
ackerman2012fluency	doi_metadata_mismatch	10.1016/j.cognition.2012.07.012	The role of answer fluency and perceptual information in the monitoring of knowledge: Systematic or heuristic?	Monkeys exhibit prospective memory in a computerized task	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
krejciHilton2022	doi_metadata_mismatch	10.1017/S0954394522000059	There's three variants: Agreement variation in existential \\textitthere constructions	Phonological mergers have systemic phonetic consequences:<scp>palm</scp>, trees, and the Low Back Merger Shift	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
drummond_schleef2016_identity	doi_metadata_mismatch	10.4324/9781315669816	Identity in variationist sociolinguistics	The Routledge Handbook of Language and Identity	Title does not match DOI metadata.
