issue_id,issue_type,file,line,observed_form,canonical_term,suggested_replacement,alternatives,default_action,decision,custom_replacement,scope,notes,context
T0001,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter02.tex,54,classes,class,class,,replace_with_canonical,pending,,this_occurrence,,"... e difficulty and move on, rarely to question whether adjective and preposition were the right kinds of kind. \section{Where essentialism works} \label{sec:2:where-essentialism-works} Essentialism is unimpeachable when \term{[[classes]]} are constructed (I reserve \term{category} for natural kinds throughout). Stipulative definitions are the clearest case. A bachelor is an unmarried adult male because we define it so. Membership is determinate because ..."
T0002,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter02.tex,66,natural number,,,,keep,pending,,this_occurrence,,"... igskip But there's a disanalogy, and it matters. In mathematics, you stipulate the category and discover its properties. In linguistics, you are trying to discover the category. The direction reverses. When you define \term{[[natural number]]}, you aren't hypothesising that something out there satisfies your definition. When you define \term{clause}, you are. Mathematical existence is logical consistency; natural-kind existence is causal-historical. A categor ..."
T0003,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter02.tex,66,clause,,,,keep,pending,,this_occurrence,,"... rties. In linguistics, you are trying to discover the category. The direction reverses. When you define \term{natural number}, you aren't hypothesising that something out there satisfies your definition. When you define \term{[[clause]]}, you are. Mathematical existence is logical consistency; natural-kind existence is causal-historical. A category that's logically coherent might carve nothing in natural language. The bootstrapping problem makes this c ..."
T0004,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter02.tex,257,Species,species,species,,replace_with_canonical,pending,,this_occurrence,,"... maintain this population as a cohesive unit over time?} The answer varies: gene flow, shared selection pressures, developmental constraints, mate recognition systems. Different mechanisms predominate in different cases. \term{[[Species]]} names not a single kind defined by a single essence but a cluster of populations maintained~-- flexibly~-- by overlapping mechanisms. This shift~-- from definition-seeking to mechanism-seeking~-- is what made boundary ..."
T0005,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter03.tex,74,homeostatic property cluster,,,,keep,pending,,this_occurrence,,"... rom philosophy of biology. Species aren't defined by essences; they're maintained by mechanisms (reproduction, selection, development) that keep certain properties clustering together \citep{boyd1991}. Boyd called these \term{[[homeostatic property cluster]]} kinds. The clustering is real (it supports induction) but dynamic (it requires ongoing maintenance). Remove the mechanisms and the cluster dissolves, like a spinning top that falls when the spin stops. Peirce tells you ..."
T0006,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter03.tex,173,schema,,,,keep,pending,,this_occurrence,,"... snapshot of the system. The present account adds what he set aside: the mechanisms that maintain the system across time. A parallel comes from complexity science: \textcite{gellmann1994} calls such relational structures \term{[[schema]]}s~-- compressed internal models that encode regularities and enable prediction. In complex adaptive systems, a schema isn't a copy of the world but a coarse-grained encoding of its history, refined through feedback \auto ..."
T0007,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter04.tex,88,Mechanism,mechanism,mechanism,,replace_with_canonical,pending,,this_occurrence,,"... t the same style of explanation works: mechanism-based, historical, non-essentialist. What maintains the clustering matters more than what defines the category. \section{What mechanisms mean} \label{sec:4:mechanisms} \term{[[Mechanism]]} is doing a lot of work here, so I should say briefly what I mean. By \term{mechanism} I mean an empirically tractable process with a characteristic signature under perturbation: change the inputs in a targeted way, and ..."
T0008,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter04.tex,90,Noun,noun,noun,,replace_with_canonical,pending,,this_occurrence,,"... resented in the mind. His analogy is the honeycomb: hexagonal structure is a real feature of beehives, but no bee represents hexagons. The structure emerges from the local behaviours of many bees following simple rules. \term{[[Noun]]}, on this view, is the linguistic honeycomb~-- real enough to describe, but not internally represented. The analogy is useful but the conclusion doesn't follow. What makes the honeycomb real isn't that bees lack hexagon ..."
T0009,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter04.tex,121,living thing,,,,keep,pending,,this_occurrence,,"... ubber duck is inanimate by any ontological criterion, but its curvature, part structure, and face-like configuration place it in the animal-appearance cluster. The category tracked by these neural representations isn't \term{[[living thing]]}; it's a cluster of statistical properties that happen to co-occur because animate beings share production constraints. This is exactly what an HPC account predicts. What gets called \enquote{animacy} at the neural level ..."
T0010,alias_used,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter04.tex,140,interactive alignment,alignment,alignment,,replace_with_canonical,pending,,this_occurrence,,"... lignment} Speakers accommodate to each other. In conversation, interlocutors converge on lexical choices, syntactic structures, even phonetic details \citep{pickering2004,garrod2009}. This is \ixs{[[interactive alignment]]}\term{interactive alignment}: the tendency to match your speech to your interlocutor's. Alignment maintains categories by enforcing community-wide coherence. If I use \mention{adult} as a verb and you accommodate, we've both reinforced the verb us ..."
T0011,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter04.tex,218,HPC kind,,,,keep,pending,,this_occurrence,,"... tained clusters that support scoped induction. That's enough for the epistemic work categories are supposed to do. If philosophers want to reserve \enquote{natural kind} for more fundamental entities, fine~-- call these \term{[[HPC kind]]}s and move on. A second objection targets the mechanisms themselves. \citet{onishi2022} press the question: what counts as a homeostatic mechanism? If the answer is \enquote{whatever keeps the properties clustered}, the ..."
T0012,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,29,Stabilizer,stabilizer,stabilizer,,replace_with_canonical,pending,,this_occurrence,,"... thways, social indexing, transmission dynamics~-- but the constraint is the same: the term is elastic enough to span cognitive and social scales, yet not so elastic that any correlation gets to call itself mechanistic. \term{[[Stabilizer]]} is a related term. Where \enquote{mechanism} emphasizes causal structure, \enquote{stabilizer} emphasizes the functional role \parencite{illari2012}~-- what keeps the cluster clustered. A stabilizer is a mechanism insof ..."
T0013,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,115,Analogy,analogy,analogy,,replace_with_canonical,pending,,this_occurrence,,"... ng on information structure). If the framework earns explanatory traction for both, it's not just sociolinguistics with a new label. Several mechanisms deserve mention even if they don't receive full case studies here. \term{[[Analogy]]} extends established patterns to new cases by perceived similarity~-- it's how children produce \mention{goed} and how adults accept novel compounds. \term{Standardization} operates through institutions: schools, style g ..."
T0014,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,115,Standardization,standardization,standardization,,replace_with_canonical,pending,,this_occurrence,,"... tion even if they don't receive full case studies here. \term{Analogy} extends established patterns to new cases by perceived similarity~-- it's how children produce \mention{goed} and how adults accept novel compounds. \term{[[Standardization]]} operates through institutions: schools, style guides, dictionaries, corpus-annotation schemes. These codify and enforce norms, creating explicit feedback loops that natural transmission lacks. \term{Indexicality} links ..."
T0015,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,115,Indexicality,indexicality,indexicality,,replace_with_canonical,pending,,this_occurrence,,"... ds. \term{Standardization} operates through institutions: schools, style guides, dictionaries, corpus-annotation schemes. These codify and enforce norms, creating explicit feedback loops that natural transmission lacks. \term{[[Indexicality]]} links linguistic forms to social meaning: a choice of variant signals group membership, registers attitude, or marks formality. The social stakes make the choice salient and its patterning consequential, reinforcing cat ..."
T0016,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,115,Error and repair,error and repair,error and repair,,replace_with_canonical,pending,,this_occurrence,,"... oup membership, registers attitude, or marks formality. The social stakes make the choice salient and its patterning consequential, reinforcing category boundaries beyond what communicative function alone would produce. \term{[[Error and repair]]} maintains structure through on-line correction~-- speakers monitor output, catch deviations, and adjust mid-utterance. This creates real-time negative feedback that keeps production within the category's basin. Finally, ..."
T0017,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,375,Processing economy,processing economy,processing economy,,replace_with_canonical,pending,,this_occurrence,,"... tible clusters stabilized by further mechanisms, then mechanisms are categories. This claim is a theoretical consequence of the framework rather than an independent empirical finding~-- but it has testable implications. \term{[[Processing economy]]} is a category~-- it bundles properties (reduced forms, high frequency, resistance to analogical pressure) that cluster reliably because of underlying neural and memory constraints. \term{Social indexing} is a category~- ..."
T0018,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,375,Social indexing,social indexing,social indexing,,replace_with_canonical,pending,,this_occurrence,,"... mplications. \term{Processing economy} is a category~-- it bundles properties (reduced forms, high frequency, resistance to analogical pressure) that cluster reliably because of underlying neural and memory constraints. \term{[[Social indexing]]} is a category~-- it bundles properties (youth association, in-group marking, register restriction) maintained by identity construction and network dynamics. The mechanisms we invoke to explain quotative stability are th ..."
T0019,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,440,Particle,particle,particle,,replace_with_canonical,pending,,this_occurrence,,"... used in much typological and pedagogical work as a wastebasket for uninflected words that don't fit elsewhere: \mention{up} in \mention{look up}, \mention{to} in infinitives, \mention{not}, sentence-final \mention{eh}. \term{[[Particle]]} is the \enquote{Other} box on a survey: it records leftovers; it doesn't identify a kind. Does this cluster survive a maintenance audit? The properties don't co-occur reliably: \mention{up} takes complements; infinitiva ..."
T0020,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,442,narrative discourse structure,,,,keep,pending,,this_occurrence,,... lysis isn't analogy-by-enthusiasm~-- it identifies genuine stabilization that \term{particle} lacks. The quotative category is also a mechanism in the larger kinds that contain it. Quotatives are part of what maintains \term{[[narrative discourse structure]]}~-- they enable the vivid re-enactment that makes storytelling work. They are part of what maintains \term{youth register}~-- the forms that index adolescent identity and solidarity. They are part of what maintains \term ...
T0021,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,442,youth register,,,,keep,pending,,this_occurrence,,"... chanism in the larger kinds that contain it. Quotatives are part of what maintains \term{narrative discourse structure}~-- they enable the vivid re-enactment that makes storytelling work. They are part of what maintains \term{[[youth register]]}~-- the forms that index adolescent identity and solidarity. They are part of what maintains \term{informal speech} as a recognizable variety~-- the cluster of features that signals casualness, immediacy, peer context. A ..."
T0022,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,442,informal speech,,,,keep,pending,,this_occurrence,,"... ture}~-- they enable the vivid re-enactment that makes storytelling work. They are part of what maintains \term{youth register}~-- the forms that index adolescent identity and solidarity. They are part of what maintains \term{[[informal speech]]} as a recognizable variety~-- the cluster of features that signals casualness, immediacy, peer context. And again, the stabilization is reciprocal: narrative structure provides the discourse ecology in which quotatives f ..."
T0023,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter06.tex,567,macrophage,,,,keep,pending,,this_occurrence,,"... ting to be discovered like chemical elements. I'm claiming that they are stably discoverable because mechanisms make them reliable targets of inquiry. The category \term{noun} is real in the same sense that the category \term{[[macrophage]]} is real: not because there is an essence that defines it, but because mechanisms of production and transmission~-- genetic, developmental, and functional for macrophages; cognitive, social, and transmission-level for no ..."
T0024,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,207,Aspect,aspect,aspect,,replace_with_canonical,pending,,this_occurrence,,"... ble once you attend to the distributional structure~-- lexical bias, tense context, morphological cues~-- rather than the semantic essence. This separation reveals that the category and the mechanism need not coincide. \term{[[Aspect]]} is a useful label picking out a real pattern, but the psychological reality of that pattern may be a network of cue--outcome associations, not a represented binary. The mechanism lives below the category; the projectibi ..."
T0025,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,272,proper names,proper name,proper name,,replace_with_canonical,pending,,this_occurrence,,"... oses. \subsection{Proper nouns and [[proper names]]} \label{sec:7:proper-nouns-names} Linguistics has its own tomatoes. Consider the distinction between \term{proper noun} and \term{proper name}. A semanticist works with \term{proper names}: expressions that refer directly to individuals without descriptive content, that are rigid designators (picking out the same individual across possible worlds), and that create referential opacity (\enquote{Lois believ ..."
T0026,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,274,proper nouns,proper noun,proper noun,,replace_with_canonical,pending,,this_occurrence,,"... These properties cluster because of the cognitive and communicative functions names serve: tracking individuals across contexts requires stable reference without shifting descriptive content. A syntactician works with \term{[[proper nouns]]}: words that head nominal projections, resist articles in certain languages, trigger particular agreement patterns, and fill argument slots. These properties cluster because of distributional pressures: words that behave ..."
