key	status	doi_normalized	title	crossref_title	notes
kolyaseva2018tipa	doi_metadata_mismatch	10.1016/j.pragma.2018.03.003	The `new' Russian quotative \\textittipa: Pragmatic scope and functions	Reported thought as (hypothetical) assessment	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
lauwers2021	doi_metadata_mismatch	10.1017/9781108937979.015	Plurality Without (Full) Countability: On Mass-Like Categories in Lexical Plurals	The Role of Context and Cognition in Countability: A Psycholinguistic Account of Lexical Distributions	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
dupre1993	doi_unresolved	10.2307/j.ctv1pncnzh	The Disorder of Things: Metaphysical Foundations of the Disunity of Science		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
pullum2019-normativity	doi_metadata_mismatch	10.5281/zenodo.2654375	Formalism, Grammatical Rules, and Normativity	Form and formalism in linguistics	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
favier2021	doi_metadata_mismatch	10.1016/j.lingua.2020.102991	Are there core and peripheral syntactic structures? A corpus-linguistic and experimental approach	Are there core and peripheral syntactic structures? Experimental evidence from Dutch native speakers with varying literacy levels	Title does not match DOI metadata.
rowlandpine2000	doi_unresolved	10.1016/S0010-0277(00)00100-0	Subject--Auxiliary Inversion Errors and Wh-Question Acquisition: `What Does Children's Developing Knowledge of English Tell Us About How Children Learn Language?'		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
decat2011	doi_metadata_mismatch	10.1017/S0305000910000346	Information tracking and encoding in early L1: Linguistic competence vs.\\ cognitive limitations	Lexical tone awareness among Chinese children with developmental dyslexia*	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
birnerward1994	doi_metadata_mismatch	10.3765/bls.v20i1.1455	Uniqueness, Familiarity, and the Definite Article in English	Inverse Voice Marking in Mapudungun	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
husic2021	doi_metadata_mismatch	10.1017/9781108937979.017	Polysemy and the Count--Mass Distinction: What Can We Derive from a Lexicon of Count and Mass Senses?	Determining Countability Classes	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
gathercole1985	doi_metadata_mismatch	10.1017/S0305000900006498	``He Has Too Much Hard Questions'': The Acquisition of the Linguistic Mass--Count Distinction in \\textitmuch and \\textitmany	Colour-name versus shape-name learning in young children	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
